Table of Stellar Model Parameters Used by Evolve - actual (See EVOLVE.STR) and calculated
   X   Z        M    T_eff          L     T_central  rho_cen     R   ColorFlag
   0   0        0   5770     1.00E+00     0          0           1        1 Main seq     Sun
   0   0        0   9900     3.16E+01     0          0           1.91     1              Sirius
   0   0        0   13000    3.80E+02     0          0           3.84     1              Regulus
   0   0        0   19000    1.82E+04     0          0           12.4     1              Spica
   0   0        0   7800     1.05E+01     0          0           1.77     1              Altair
   0   0        0   6800     6.98E+00     0          0           1.90     1              Procyon
   0   0        0   6000     1.51E+00     0          0           1.13     1
   0   0        0   5500     7.94E-01     0          0           0.981    1
   0   0        0   4900     4.17E-01     0          0           0.895    1
   0   0        0   4130     1.66E-01     0          0           0.795    1
   0   0        0   3500     6.03E-02     0          0           0.667    1
   0   0        0   3800     3.47E+02     0          0           42.9     1 Giants       Aldebaran
   0   0        0   4500     5.50E+01     0          0           12.18    1              Pollux
   0   0        0   8500     4.57E+01     0          0           3.11     1              Alpa Oph
   0   0        0   3200     5.01E+02     0          0           72.7     1
   0   0        0   8000     6.61E+03     0          0           42.2     1 Supergiants  Canopus
   0   0        0   3200     1.26E+05     0          0           1153.5   1              Betelgeuse
   0   0        0   13000    1.26E+05     0          0           69.89    1              Rigel
   0   0        0   4100     1.51E+04     0          0           243.6    1
   0   0        0   3500     2.40E+04     0          0           420.9    1
   0   0        0   6000     3.16E+02     0          0           16.4     1 Cepheids     1 day
   0   0        0   5600     1.15E+03     0          0           35.9     1              3 day
   0   0        0   5200     3.80E+03     0          0           75.9     1              10 day
   0   0        0   4800     1.66E+04     0          0           186.1    1              30 day
   0   0        0   9900     3.80E-03     0          0           0.020945 1 White dwarfs
   0   0        0   7500     1.38E-03     0          0           0.02199  1

  .7 .0300     .10   2418.         .001    4384284.  335.51     .14       0   Calculated values
  .7 .0300     .13   2619.         .001    5046600.  225.89     .17       0
  .7 .0300     .16   2778.         .002    5624695.  166.65     .20       0
  .7 .0300     .20   2923.         .004    6191529.  127.85     .24       0
  .7 .0300     .25   3062.         .006    6774837.  100.09     .28       0
  .7 .0300     .32   3199.         .010    7392628.   79.40     .32       0
  .7 .0300     .40   3338.         .016    8059312.   63.59     .38       0
  .7 .0300     .50   3490.         .025    8685568.   54.03     .44       0
  .7 .0300     .63   3767.         .050    9547666.   56.51     .53       0
  .7 .0300     .79   4330.         .140   11135142.   61.82     .67       0
  .7 .0300    1.00   5316.         .469   13449176.   69.89     .82       0
  .7 .0300    1.26   6778.        1.574   16428565.   77.64     .92       0
  .7 .0300    1.58   8507.        4.861   19168864.   72.09    1.02       0
  .7 .0300    2.00  10378.       14.282   21057072.   58.08    1.18       0
  .7 .0300    2.51  12482.       40.598   22635808.   44.75    1.38       0
  .7 .0300    3.16  14829.      110.255   24132112.   33.92    1.61       0
  .7 .0300    3.98  17382.      283.465   25603584.   25.54    1.87       0
  .7 .0300    5.01  20100.      687.543   27058048.   19.22    2.18       0
  .7 .0300    6.31  22940.     1577.245   28497136.   14.53    2.54       0
  .7 .0300    7.94  25864.     3435.575   29908976.   11.09    2.95       0
  .7 .0300   10.00  28860.     7146.598   31282224.    8.58    3.41       0
  .7 .0300   12.59  31901.    14236.375   32613824.    6.75    3.94       0
  .7 .0300   15.85  34970.    27264.621   33900096.    5.42    4.54       0
  .7 .0300   19.95  38019.    50176.324   35131840.    4.42    5.21       0
  .7 .0300   25.12  41020.    88960.812   36299088.    3.67    5.96       0
  .7 .0300   31.62  43903.   152019.437   37410768.    3.10    6.81       0
  .7 .0300   39.81  46612.   250725.875   38467808.    2.65    7.75       0
  .7 .0300   50.12  49125.   400312.187   39454592.    2.29    8.82       0
  .7 .0300   63.10  51404.   620724.625   40382848.    1.99   10.03       0
  .7 .0300   79.43  53432.   936911.375   41257344.    1.75   11.40       0
  .7 .0300  100.00  55220.  1381015.000   42081984.    1.55   12.96       0
  .7 .0300  125.89  56767.  1993418.000   42844576.    1.37   14.74       0
  .7 .0300  158.49  58090.  2825523.000   43581072.    1.22   16.76       0
  .7 .0300  199.53  59197.  3941841.000   44268752.    1.09   19.06       0
  .7 .0300  251.19  60131.  5423734.000   44915808.     .98   21.67       0
  .7 .0300  316.23  60912.  7372234.000   45529952.     .88   24.62       0
  .7 .0300  398.11  61546.  9917409.000   46120784.     .79   27.96       0
  .7 .0300  501.19  62087. 13222101.000   46687232.     .71   31.74       0
