 932
n     0   1    7825  -9.99849999999860E+0001
n     1   1   14102  -1.50000000000148E-0002
b     2   1   16049   3.87450000000000E+0008
n     1   2   16029  -1.38000000000194E-0004
n     2   2    2603  -9.99998599999817E+0001
n     3   3   15121  -7.50000000000000E+0000
n     4   3   16003  -9.25000000000000E+0001
b     5   3   22486   8.40000000000146E-0001
e     3   4   16928   4.60512000000000E+0006
a     4   4    5305   7.00000000001199E-0017
n     5   4   12182  -1.00000000000000E+0002
b     6   4   13534   5.04000000000000E+0013
b     7   4   21658   1.38000000000029E+0001
e     3   5   24606   7.69999999999527E-0001
a     4   5   13329   8.50000000000004E-0019
n     5   5   12937  -1.97999999999884E+0001
n     6   5    9305  -8.01999999999534E+0001
b     7   5   14353   2.03999999999951E-0002
b     8   5   17780   1.73999999999808E-0002
e     3   6   31039   1.30000000000109E-0001
e     4   6   16856   1.92000000000116E+0001
e     5   6   11433   1.22400000000000E+0003
n     6   6       0  -9.88900000000140E+0001
n     7   6    3355  -1.11000000000058E+0000
b     8   6    3242   1.80495000000000E+0011
b     9   6   10599   2.45000000000073E+0000
e     5   7   18613   1.09999999999957E-0002
e     6   7    5739   5.97599999999627E+0002
n     7   7    3074  -9.96300000000047E+0001
n     8   7     109  -3.65999999999985E-0001
b     9   7    6100   7.12999999999738E+0000
b    10   7    8450   4.16999999999825E+0000
b    11   7   14081   6.30000000000109E-0001
e     6   8    8595   7.10000000000000E+0001
e     7   8    3065   1.22000000000000E+0002
n     8   8  994915  -9.97600000000093E+0001
n     9   8  999131  -3.80000000000678E-0002
n    10   8  999160  -2.03999999999951E-0001
b    11   8    3577   2.68999999999942E+0001
b    12   8    4076   1.35000000000000E+0001
e     8   9    2095   6.45000000000000E+0001
e     9   9     937   6.60000000000000E+0003
n    10   9  998403  -1.00000000000000E+0002
b    11   9  999981   1.10000000000000E+0001
b    12   9  999948   4.30000000000291E+0000
b    13   9    3030   4.19999999999709E+0000
b    14   9    3600   2.20000000000073E+0000
e     7  10   17690   1.10000000000014E-0001
e     8  10    5710   1.70000000000073E+0000
e     9  10    1880   1.72999999999884E+0001
n    10  10  992436  -9.05100000000093E+0001
n    11  10  993843  -2.69999999999982E-0001
n    12  10  991383  -9.22000000000116E+0000
b    13  10  994465   3.75999999999767E+0001
b    14  10  993613   2.04000000000000E+0002
b    15  10  997690   6.00000000000364E-0001
e     9  11    7344   4.50000000000273E-0001
e    10  11  997651   2.25000000000000E+0001
e    11  11  994434   8.19000000000000E+0007
n    12  11  989768  -1.00000000000000E+0002
b    13  11  990961   5.40000000000000E+0004
b    14  11  989953   6.00000000000000E+0001
b    15  11  992586   1.10000000000036E+0000
b    16  11  993940   3.00000000000182E-0001
e     9  12   11716   1.23000000000047E-0001
e    10  12  999574   3.86000000000058E+0000
e    11  12  994124   1.13000000000029E+0001
n    12  12  985042  -7.89899999999907E+0001
n    13  12  985837  -1.00000000000000E+0001
n    14  12  982594  -1.10099999999948E+0001
